code,rank,bl,country,gdp,last
GRL,176,,Greenland,"3236",
TLS,177,,Timor-Leste,"3205",
CUW,178,,Curaçao,"3075",
BLZ,179,,Belize,"2831",
BTN,180,,Bhutan,"2768",
CAF,181,,Central African Republic,"2383",
LCA,182,,St. Lucia,"2344",
LSO,183,,Lesotho,"2237",
CPV,184,,Cabo Verde,"2227",
GMB,185,,"Gambia The","2187",
ATG,186,,Antigua and Barbuda,"1868",
SMR,187,,San Marino,"1855",
GNB,188,,Guinea-Bissau,"1634",
SLB,189,,Solomon Islands,"1597",
SYC,190,,Seychelles,"1588",
SXM,191,,Sint Maarten (Dutch part),"1537",
COM,192,,Comoros,"1243",
GRD,193,,Grenada,"1215",
TCA,194,,Turks and Caicos Islands,"1139",
VUT,195,,Vanuatu,"1056",
KNA,196,,St. Kitts and Nevis, 966 ,
VCT,197,,St. Vincent and the Grenadines, 949 ,
ASM,198,,American Samoa, 871 ,
MNP,199,,Northern Mariana Islands, 858 ,
WSM,200,,Samoa, 833 ,
MAF,201,,St. Martin (French part), 649 ,
DMA,202,,Dominica, 607 ,
STP,203,,São Tomé and Principe, 543 ,
TON,204,,Tonga, 469 ,
FSM,205,,"Micronesia Fed. Sts.", 424 ,
MHL,206,,Marshall Islands, 259 ,
PLW,207,,Palau, 233 ,
KIR,208,,Kiribati, 223 ,
NRU,209,,Nauru, 152 ,
TUV,210,,Tuvalu, 59 ,
VGB,,,British Virgin Islands, -   ,
ERI,,,Eritrea, -   ,
GIB,,,Gibraltar, -   ,
PRK,,,"Korea Dem. People's Rep.", -   ,
SSD,,,South Sudan, -   ,
VEN,,,"Venezuela RB", -   ,
YEM,,,"Yemen Rep.", -   ,
,,,,,
,,,,,
,,,,,
WLD,,,World,"101325687",
,,,,#N/A,
,,,,,
EAS,,,East Asia & Pacific,"30688236",
ECS,,,Europe & Central Asia,"25329956",
LCN,,,Latin America & Caribbean,"6820032",
MEA,,,Middle East & North Africa,"4426622",
NAC,,,North America,"27585185",
SAS,,,South Asia,"4390348",
SSF,,,Sub-Saharan Africa,"2060531",
LIC,,,Low income,"528125",
LMC,,,Lower middle income,"8171521",
UMC,,,Upper middle income,"30609458",
HIC,,,High income,"61667467",
,,,,,
,"- Not available.  
Note: Table list 217 economies but rankings include only those with confirmed GDP estimates for at least one year during the last three years period. Figures in italics are for 2021 or 2020.
a. Based on data from official statistics of Ukraine and Russian Federation as well as the United Nations; by relying on these data the World Bank does not intend to make any judgment on the legal or other status of the territories concerned or to prejudice the final determination of the parties' claims.  b. Includes Western Sahara.  c. Covers mainland Tanzania only.  d. Data are for the area controlled by the government of Cyprus.  e. Excludes Abkhazia and South Ossetia.  f. Excludes Transnistria.",,,,
,,,,,
,,,,,
,GDP data source: http://data.worldbank.org/data-catalog/world-development-indicators,,,,
,GDP projections:  http://data.worldbank.org/data-catalog/global-economic-prospects,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
